Villes,statut
Borba+Portugal,traité (2026-08-10 15:29)
Mação+Portugal,traité (2026-08-10 16:49)
Santa Marta de Penaguião+Portugal,traité (2026-08-10 16:53)
Valpaços+Portugal,traité (2026-08-10 16:55)
Vila do Bispo+Portugal,traité (2026-08-10 17:02)
Ponte da Barca+Portugal,traité (2026-08-10 17:04)
Caminha+Portugal,traité (2026-08-10 17:08)
Seia+Portugal,traité (2026-08-10 17:13)
Ovar+Portugal,traité (2026-08-10 17:16)
Leiria+Portugal,traité (2026-08-10 17:18)
Arouca+Portugal,traité (2026-08-10 17:20)
Porto Santo+Portugal,traité (2026-08-10 17:22)
Alijó+Portugal,traité (2026-08-10 17:25)
Sertã+Portugal,traité (2026-08-10 17:28)
Tomar+Portugal,traité (2026-08-10 17:31)
Salvaterra de Magos+Portugal,traité (2026-08-10 17:32)
Resende+Portugal,traité (2026-08-10 17:34)
Montalegre+Portugal,traité (2026-08-10 17:38)
Vila Franca de Xira+Portugal,traité (2026-08-10 17:41)
Mangualde+Portugal,traité (2026-08-10 17:43)
Lourinhã+Portugal,traité (2026-08-10 17:47)
Vila Real+Portugal,traité (2026-08-10 17:48)
Arronches+Portugal,traité (2026-08-10 17:50)
Mêda+Portugal,traité (2026-08-10 18:59)
Alenquer+Portugal,traité (2026-08-10 19:02)
Câmara de Lobos+Portugal,traité (2026-08-10 19:06)
Oliveira de Azeméis+Portugal,traité (2026-08-10 19:13)
Miranda do douro+Portugal,traité (2026-08-10 19:17)
Povoação+Portugal,traité (2026-08-10 19:18)
Góis+Portugal,traité (2026-08-10 19:23)
Vila Nova de Poiares+Portugal,traité (2026-08-10 19:27)
Almada+Portugal,traité (2026-08-10 19:32)
São Brás de Alportel+Portugal,traité (2026-08-10 19:36)
Carregal do Sal+Portugal,traité (2026-08-10 19:39)
Monforte+Portugal,traité (2026-08-10 19:40)
Paços de Ferreira+Portugal,traité (2026-08-10 19:43)
Horta+Portugal,traité (2026-08-10 19:45)
Aljustrel+Portugal,traité (2026-08-10 19:47)
Almodôvar+Portugal,traité (2026-08-10 19:48)
Corvo+Portugal,traité (2026-08-10 19:50)
Ribeira Grande+Portugal,traité (2026-08-10 19:54)
Praia da Vitória+Portugal,traité (2026-08-10 19:58)
Lajes do Pico+Portugal,traité (2026-08-10 20:00)
Soure+Portugal,traité (2026-08-10 20:01)
Redondo+Portugal,traité (2026-08-10 20:03)
Lisboa+Portugal,traité (2026-08-10 22:02)
Gavião+Portugal,traité (2026-08-10 22:04)
Pinhel+Portugal,traité (2026-08-10 22:07)
Barreiro+Portugal,traité (2026-08-10 22:09)
Aguiar da Beira+Portugal,traité (2026-08-10 22:13)
Penafiel+Portugal,traité (2026-08-10 22:14)
Calheta+Portugal,traité (2026-08-10 22:17)
Mirandela+Portugal,traité (2026-08-10 22:20)
Mesão Frio+Portugal,traité (2026-08-10 22:27)
Arganil+Portugal,traité (2026-08-10 22:30)
Mira+Portugal,traité (2026-08-10 22:33)
Évora+Portugal,traité (2026-08-10 22:37)
Golegã+Portugal,traité (2026-08-10 22:39)
Castro Marim+Portugal,traité (2026-08-10 22:42)
Nelas+Portugal,traité (2026-08-10 22:44)
São Pedro do Sul+Portugal,traité (2026-08-10 22:47)
Sousel+Portugal,traité (2026-08-10 22:49)
Azambuja+Portugal,traité (2026-08-10 22:51)
Ferreira do Alentejo+Portugal,traité (2026-08-10 22:55)
Mértola+Portugal,traité (2026-08-10 22:57)
Alvito+Portugal,traité (2026-08-10 22:58)
Mealhada+Portugal,traité (2026-08-10 23:01)
Lagoa+Portugal,traité (2026-08-10 23:06)
Ponta delgada+Portugal,traité (2026-08-10 23:09)
Montemor-o-Velho+Portugal,traité (2026-08-10 23:12)
Oliveira do Hospital+Portugal,traité (2026-08-10 23:14)
Murça+Portugal,traité (2026-08-10 23:14)
Vimioso+Portugal,traité (2026-08-10 23:15)
Marco de Canaveses+Portugal,traité (2026-08-10 23:18)
Marinha Grande+Portugal,traité (2026-08-10 23:19)
Terras de Bouro+Portugal,traité (2026-08-10 23:25)
Vila Verde+Portugal,traité (2026-08-10 23:27)
Oliveira do Bairro+Portugal,traité (2026-08-10 23:28)
Torre de Moncorvo+Portugal,traité (2026-08-10 23:30)
Fundão+Portugal,traité (2026-08-10 23:33)
São João da Madeira+Portugal,traité (2026-08-10 23:37)
Vale de Cambra+Portugal,traité (2026-08-10 23:39)
Sardoal+Portugal,traité (2026-08-10 23:41)
Mourão+Portugal,traité (2026-08-10 23:42)
Alcoutim+Portugal,traité (2026-08-10 23:43)
Oliveira de Frades+Portugal,traité (2026-08-10 23:45)
Vila Nova de Foz Côa+Portugal,traité (2026-08-10 23:46)
Alcobaça+Portugal,traité (2026-08-10 23:48)
Madalena+Portugal,traité (2026-08-10 23:50)
Cartaxo+Portugal,traité (2026-08-10 23:51)
Constância+Portugal,traité (2026-08-10 23:53)
Castanheira de Pêra+Portugal,traité (2026-08-10 23:56)
Nazaré+Portugal,traité (2026-08-10 23:57)
Castro Verde+Portugal,traité (2026-08-10 23:59)
Amares+Portugal,traité (2026-08-11 00:01)
Belmonte+Portugal,traité (2026-08-11 00:04)
Setúbal+Portugal,traité (2026-08-11 00:06)
Montijo+Portugal,traité (2026-08-11 00:08)
Grândola+Portugal,traité (2026-08-11 00:10)
Penacova+Portugal,traité (2026-08-11 00:12)
Sever do Vouga+Portugal,traité (2026-08-11 00:14)
Santarém+Portugal,traité (2026-08-11 00:15)
Aljezur+Portugal,traité (2026-08-11 00:17)
Loures+Portugal,traité (2026-08-11 00:19)
Cascais+Portugal,traité (2026-08-11 00:25)
Cadaval+Portugal,traité (2026-08-11 00:27)
Vila Real de Santo António+Portugal,traité (2026-08-11 00:30)
São Roque do Pico+Portugal,traité (2026-08-11 00:33)
Cuba+Portugal,traité (2026-08-11 00:33)
Rio Maior+Portugal,traité (2026-08-11 00:35)
Olhão+Portugal,traité (2026-08-11 00:37)
Viana do Castelo+Portugal,traité (2026-08-11 00:41)
Penedono+Portugal,traité (2026-08-11 00:42)
Santa Comba Dão+Portugal,traité (2026-08-11 00:44)
Bombarral+Portugal,traité (2026-08-11 00:46)
Santana+Portugal,traité (2026-08-11 03:03)
Cabeceiras de Basto+Portugal,traité (2026-08-11 03:05)
Castelo de Paiva+Portugal,traité (2026-08-11 05:07)
Freixo de Espada À Cinta+Portugal,traité (2026-08-11 05:09)
Coimbra+Portugal,traité (2026-08-11 05:13)
Fornos de Algodres+Portugal,traité (2026-08-11 05:14)
Baião+Portugal,traité (2026-08-11 05:17)
Almeida+Portugal,traité (2026-08-11 05:18)
Peniche+Portugal,traité (2026-08-11 05:21)
Póvoa de Lanhoso+Portugal,traité (2026-08-11 05:23)
Alfândega da Fé+Portugal,traité (2026-08-11 05:24)
Palmela+Portugal,traité (2026-08-11 05:29)
Mondim de Basto+Portugal,traité (2026-08-11 05:30)
Vouzela+Portugal,traité (2026-08-11 05:33)
Lousã+Portugal,traité (2026-08-11 05:35)
Pampilhosa da Serra+Portugal,traité (2026-08-11 05:37)
Sabrosa+Portugal,traité (2026-08-11 05:40)
Portel+Portugal,traité (2026-08-11 05:41)
Melgaço+Portugal,traité (2026-08-11 05:43)
Caldas da Rainha+Portugal,traité (2026-08-11 05:45)
Serpa+Portugal,traité (2026-08-11 05:46)
Vidigueira+Portugal,traité (2026-08-11 05:49)
Anadia+Portugal,traité (2026-08-11 05:50)
Calheta de São Jorge+Portugal,traité (2026-08-11 05:52)
Vila Nova da Barquinha+Portugal,traité (2026-08-11 05:54)
Coruche+Portugal,traité (2026-08-11 05:56)
Mora+Portugal,traité (2026-08-11 05:58)
Faro+Portugal,traité (2026-08-11 06:01)
Monchique+Portugal,traité (2026-08-11 06:03)
Alter do Chão+Portugal,traité (2026-08-11 06:05)
Felgueiras+Portugal,traité (2026-08-11 06:07)
Trancoso+Portugal,traité (2026-08-11 06:08)
Lajes das Flores+Portugal,traité (2026-08-11 06:08)
Pombal+Portugal,traité (2026-08-11 06:10)
